Date : 2021-04-01 10:15:53
Directory : c:\xampp\htdocs\WebBasedHotelReserve\hotel
Total : 484 files,  27530 codes, 10254 comments, 5269 blanks, all 43053 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\CreditNoteTest.php                                 | PHP      |         93 |          4 |         12 |        109 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\CustomerBalanceTransactionTest.php                 | PHP      |         16 |          4 |          5 |         25 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\CustomerTest.php                                   | PHP      |        226 |          5 |         28 |        259 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\DisputeTest.php                                    | PHP      |         59 |          4 |          9 |         72 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\EphemeralKeyTest.php                               | PHP      |         38 |          4 |          7 |         49 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\ErrorObjectTest.php                                | PHP      |         21 |          4 |          5 |         30 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\EventTest.php                                      | PHP      |         26 |          4 |          6 |         36 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Exception\ApiErrorExceptionTest.php                | PHP      |         38 |          4 |          7 |         49 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Exception\OAuth\OAuthErrorExceptionTest.php        | PHP      |         39 |          4 |          7 |         50 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Exception\SignatureVerificationExceptionTest.php   | PHP      |         13 |          4 |          4 |         21 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\ExchangeRateTest.php                               | PHP      |         51 |          4 |          6 |         61 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\FileCreationTest.php                               | PHP      |         55 |          9 |         10 |         74 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\FileLinkTest.php                                   | PHP      |         59 |          4 |          9 |         72 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\FileTest.php                                       | PHP      |         40 |          4 |          8 |         52 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\HttpClient\CurlClientTest.php                      | PHP      |        241 |         30 |         85 |        356 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\InvoiceItemTest.php                                | PHP      |         71 |          4 |         10 |         85 |
